Indicator Name,Indicator Code,Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Net migration,SM.POP.NETM,Botswana,BWA,7970,7418,4964,4758,4758,4771,4798,4834,4820,4349,3562,1301,488,471,1138,2145,3129,3761,3819,2933,1816,1816,3000,3000
Net migration,SM.POP.NETM,Canada,CAN,201617,224357,206028,182430,193282,204710,202483,210817,237962,240878,227724,228828,245309,242475,195649,232738,320494,361274,417974,391914,195181,195181,248586,249746
Net migration,SM.POP.NETM,Switzerland,CHE,24066,35173,48658,41871,38681,32421,36928,71939,94153,69106,75604,66975,67464,83892,77880,71488,70637,45208,40899,43546,53786,23872,39998,39998
Net migration,SM.POP.NETM,Channel Islands,CHI,60,731,929,849,842,817,775,745,719,750,737,101,621,993,543,1396,1180,1429,2353,1566,1362,1242,900,900
Net migration,SM.POP.NETM,Chile,CHL,5790,6720,7828,9266,11515,14336,17348,20188,22516,24330,26064,28128,30925,36566,52709,55709,126525,214697,237358,230162,98439,113709,-66850,-71205
Net migration,SM.POP.NETM,China,CHN,-549792,-485419,-477885,-527837,-458505,-519752,-473105,-438846,-469093,-350365,-216417,-147585,-124641,-137444,-198432,-155379,-153054,-180592,-296674,-302609,-33649,-200194,-311380,-310220
Net migration,SM.POP.NETM,Cote d'Ivoire,CIV,-63877,-76730,-90581,-99980,-108973,-117468,-124792,-130231,-133857,-136317,-138260,-156846,-144173,-148501,-23011,-21498,-20148,-18758,-17190,-15520,-12301,-21000,6000,6000
Net migration,SM.POP.NETM,Cameroon,CMR,-21221,-19204,-10766,-18575,-19445,-27782,-28536,-10804,-10722,-10203,-9362,-12671,-7529,-6900,96607,42007,13251,-37910,-9185,-12254,-9889,-9889,-4800,-4800
Net migration,SM.POP.NETM,"Congo, Dem. Rep.",COD,-48028,26524,-17355,-106740,4255,20379,40036,9939,-11707,-46015,8823,40890,-25257,121103,36966,47831,173022,4350,-124242,-144916,-1643,-64643,-14999,-14999
Net migration,SM.POP.NETM,"Congo, Rep.",COG,79780,-778,-16141,26287,25414,38337,35476,31237,1786,86016,12316,5262,-26640,-24608,-21600,-18219,-14788,-11604,-8858,-6271,-4465,-4466,-1000,-1000
